ano,mes,tipo_consumo,numero_consumidores,consumo,sigla,estado,regiao,pais,data,dataStr
2004,3,Outros,10124,46204.0,AM,Amazonas,Norte,Brasil,2004-03-01,March/2004
2004,3,Outros,54270,49481.0,MA,Maranhao,Nordeste,Brasil,2004-03-01,March/2004
2004,3,Outros,309474,419335.0,RS,Rio Grande do Sul,Sul,Brasil,2004-03-01,March/2004
2004,3,Outros,72472,46770.0,PB,Paraiba,Nordeste,Brasil,2004-03-01,March/2004
2004,3,Outros,122872,73459.0,ES,Espirito Santo,Sudeste,Brasil,2004-03-01,March/2004
2004,3,Outros,57071,70091.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-03-01,March/2004
2004,3,Outros,141164,118531.0,GO,Goias,Centro-Oeste,Brasil,2004-03-01,March/2004
2004,3,Outros,71021,411399.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-03-01,March/2004
2004,3,Outros,367185,271528.0,PR,Parana,Sul,Brasil,2004-03-01,March/2004
2004,3,Outros,33259,31051.0,PI,Piaui,Nordeste,Brasil,2004-03-01,March/2004
2004,3,Outros,227419,212391.0,SC,Santa Catarina,Sul,Brasil,2004-03-01,March/2004
2004,3,Outros,17018,41702.0,AL,Alagoas,Nordeste,Brasil,2004-03-01,March/2004
2004,3,Outros,214104,179779.0,BA,Bahia,Nordeste,Brasil,2004-03-01,March/2004
2004,3,Outros,314566,964620.0,SP,Sao Paulo,Sudeste,Brasil,2004-03-01,March/2004
2004,3,Outros,10080,9586.0,AC,Acre,Norte,Brasil,2004-03-01,March/2004
2004,3,Outros,12159,70051.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-03-01,March/2004
2004,3,Outros,2457,10318.0,AP,Amapa,Norte,Brasil,2004-03-01,March/2004
2004,3,Outros,481324,334727.0,MG,Minas Gerais,Sudeste,Brasil,2004-03-01,March/2004
2004,4,Outros,214449,188967.0,BA,Bahia,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,313308,352188.0,RS,Rio Grande do Sul,Sul,Brasil,2004-04-01,April/2004
